title,location,URL
Full-stack developer – Full Time,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=8b4dde8cbec8c4df&fccid=79e81bbfbc7424f6&vjs=3
Data scientist (Barcelona),"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=ccd0b3debe768c75&fccid=5e88048acc92e2e1&vjs=3
Climate projections (RE1),"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=01e090609c9d5206&fccid=a9e2246650287c61&vjs=3
Research Engineer – Explainable Artificial Intelligence for...,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=52a8f72362c1c4e4&fccid=a9e2246650287c61&vjs=3
Product Manager,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=436640a5c225f817&fccid=6d65cb9ba1f73d65&vjs=3
Product / Business Performance Manager,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=c482f55c7744c61c&fccid=6d65cb9ba1f73d65&vjs=3
Product Manager,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=d84147f3ca1237a5&fccid=cadcae9e8089792b&vjs=3
Product / Business Performance Manager,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=f65e01c803a8b2cb&fccid=cadcae9e8089792b&vjs=3
Senior Machine Learning Scientist,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=3bb59ee8dff2d373&fccid=fe2d21eef233e94a&vjs=3
Senior UX Researcher,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=0c748cca1839d1c3&fccid=cadcae9e8089792b&vjs=3
Senior UX Researcher,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=2f9f06e945b0531e&fccid=6d65cb9ba1f73d65&vjs=3
Principal/Senior Product Manager - Fulfilment (m/f/d),"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=4bd669324155f462&fccid=07b8d34e6d6b631d&vjs=3
DevOps Engineer,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=2cb89aebd227147f&fccid=5aecff49966a6ffd&vjs=3
Lead Data Engineer,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=0f50b90cb917d923&fccid=3755b60c862441f9&vjs=3
Senior Data Scientist,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=8c89e3033978b998&fccid=3755b60c862441f9&vjs=3
Full-stack developer – Full Time,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=8b4dde8cbec8c4df&fccid=79e81bbfbc7424f6&vjs=3
Data scientist (Barcelona),"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=ccd0b3debe768c75&fccid=5e88048acc92e2e1&vjs=3
Climate projections (RE1),"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=01e090609c9d5206&fccid=a9e2246650287c61&vjs=3
Research Engineer – Explainable Artificial Intelligence for...,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=52a8f72362c1c4e4&fccid=a9e2246650287c61&vjs=3
Product Manager,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=436640a5c225f817&fccid=6d65cb9ba1f73d65&vjs=3
Product / Business Performance Manager,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=c482f55c7744c61c&fccid=6d65cb9ba1f73d65&vjs=3
Product Manager,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=d84147f3ca1237a5&fccid=cadcae9e8089792b&vjs=3
Senior Machine Learning Scientist,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=3bb59ee8dff2d373&fccid=fe2d21eef233e94a&vjs=3
Product / Business Performance Manager,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=f65e01c803a8b2cb&fccid=cadcae9e8089792b&vjs=3
Senior UX Researcher,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=0c748cca1839d1c3&fccid=cadcae9e8089792b&vjs=3
Senior UX Researcher,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=2f9f06e945b0531e&fccid=6d65cb9ba1f73d65&vjs=3
DevOps Engineer,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=2cb89aebd227147f&fccid=5aecff49966a6ffd&vjs=3
Principal/Senior Product Manager - Fulfilment (m/f/d),"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=4bd669324155f462&fccid=07b8d34e6d6b631d&vjs=3
Lead Data Engineer,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=0f50b90cb917d923&fccid=3755b60c862441f9&vjs=3
Senior Data Scientist,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=8c89e3033978b998&fccid=3755b60c862441f9&vjs=3
"Agile Coach, Analytics - Europe Remote","Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=8bb5e3ac32048a50&fccid=3755b60c862441f9&vjs=3
"Senior Data Scientist, Demand Forecasting - Europe Remote","Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=6c732f9cbd09b704&fccid=3755b60c862441f9&vjs=3
Senior Developer | relocation to The Netherlands,"Barcelona, Barcelona provincia",https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AIRRTOL2x0snjY_zR5mdDtI0WWuuNhn2-9NootJX_ybu-5T_EDmLMOV3amvWmAe0of9yMNcxU-MXmdfZUpD_DgRjsNOKTCmKE3vVcsE_r1pXkC25KQyhygYH63d1QlSg7GO3caK63eLhJfA6JuY3F29k5By0UW3Ut1f87-NpwkgkZx_xGfcdQ5_r0iD5Eby-Ora_J1rXKNLCgMB9jRQn90gOGZ3NXdoBbhJScriN_33yO0eFSDP5oFrTdSlj1TBln_vIXEijkGJbMbjeAVaLNz1HrIyVvK-tkZKDucxgFqJzaCouwBvylwOv-lpgbTj91iTKOj5Stlqa9mo0vW1DkPzFkK-8Z67RAyQW78JFjiaHNpqNGCg8XP59B4Q0895acznxg_nRBQK6uIViwj3vKEFLDLzZQKg99tWd9nT0xSFJvIB-NaFlmneBl9tq7dfk4DVnFyRx8kLrWE1B0qOCfy6vcA26uRUzRpAV7Tx0PtFr4yQ2GY8T1AZAuK1QViO2ufUlOHWItP9FYYDsdc26M0gjDcwUAdy1IQpx15Z-Wnk4b-0qOYokuJB35gICIx1YdVZXmvm1AYJr2vEsbADjc0eeVCvXD1GE2fnx6-nBAY1lXhyaaMqI57MvyXAEDR2YpasFP412c1m6Xwb10FUqy-zEpweBRMyuNSxceZfRPuY4uz4OAguIjITauuwTQAeP8CRpWhleBu1s3OauySfJ8m&p=2&fvj=0&vjs=3
Data Scientist,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=21a62862bce5598f&fccid=36f022343719813f&vjs=3
Data Scientist,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=5cc487de9c935075&fccid=00f1b8a7966fcb79&vjs=3
Senior Data Scientist- Europe Remote,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=9fe6245d64f5e4c6&fccid=3755b60c862441f9&vjs=3
Data Scientist-Digital Business Experience,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=3f4951a6c808ecfb&fccid=316f2882fa49ccc7&vjs=3
Junior Analyst/Assistant - International Relations,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=d5a15fd4c8bac96b&fccid=c5b173804147b974&vjs=3
Clinical Scientist,España,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPiPBVS3KmjTqjymWZvPzPJEsEe9JFHhSvGO4UmOZP0vA-d9WQzxIoLydL8ifbNFc4LgajNaOjchNlgcZ-g6aO9WSt63qyKkOP15zRqSB4GAEz0zd0fcRf1QX8tdKy4-U8RDGzW4IdPa3pfKxju0wuGGWXHF2VCpby0ne1WPpsnohNGkD-kB82c9LQadGTmO_j2U9I9iPeXM91zrFHar79OZ-vLfFd64BPDZdMr6kOHgXZLM4m-FjouUJ-bAGsiVdIptUWP-_cZpstFbcRlqVf0YapiJG8KI3GIb34VYKMnFImtXn8mmeRv0yugagRJDcoKHrlC-7JpI_-BncVzAAcxtjSsFgVHy4MTMMvQwSi_bLpGVYFfc_AM27C9dGLFWWORyD2miIcziRtCo-pZNPTewXPt3lX5qXCZBInKWjTClKODgb22Wl6JNDjmaAmm7ms_FJHe7QqTnyHz3C-WPkYIM6PntNG4hYE5xh1xfj6KHp7BbeHdYp-MdDknEZ6vAnZZAHIZvXtdIC53lxxxsk_Nk67uwbGbYADPuBihCjSakpbpESs_tGhlcKq-u1X9bHrvRdJ1fkwb7Y_tQ6buL8iN497_Ew8XVky1pZiaWrq_lQvto_R0Hfzncu6XB9XipeNDgLTDXxNHlA-QjAO2GCMUpqIvaCYWJ9sMydaKr-6FApH6Mk3V8lg4fGFCmRwz8EkXXmtYfkqCYmyGzzTrGaGfk1VOOMgfXzttkkDqilVaFA7X6F_iFMb_fiKSg9y3z_PpGRJtJtp_rf0R6BgPM_zw7gMJLF9a6g=&p=8&fvj=0&vjs=3
Data Scientist,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=873683fde2c3b9c6&fccid=55a8ffd39b479920&vjs=3
Big Data &amp; Analytics Internship - Sept.2021,"Sant Cugat del Vallès, Barcelona provincia",https://es.indeed.com/rc/clk?jk=de143c1b9715649c&fccid=1b866506aec22461&vjs=3
IBM GBS Associates-Barcelona (incorporación Junio 2021),"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=faf28e340664a429&fccid=de71a49b535e21cb&vjs=3
Data Platform &amp; Governance Manager,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=e40716f9bb061bdd&fccid=5aecff49966a6ffd&vjs=3
R&amp;D Firmware Engineer Internship - Sept.2021,"Sant Cugat del Vallès, Barcelona provincia",https://es.indeed.com/rc/clk?jk=336c1ff1fcebb66a&fccid=1b866506aec22461&vjs=3
Senior Data Scientist (Barcelona),"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=2b355d0adbbd2e5d&fccid=d4b58fa60b80adb8&vjs=3
Data Platform &amp; Governance Manager,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=e40716f9bb061bdd&fccid=5aecff49966a6ffd&vjs=3
Microscopy Specialist in the Intracellular Self-Organization...,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=746bee119d264441&fccid=83df17e5cf55215f&vjs=3
User Acquisition Data Analyst,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=d14b47339e377c2f&fccid=7e0d9a513baca44d&vjs=3
Printing System Engineer Internship - Sept.2021,"Sant Cugat del Vallès, Barcelona provincia",https://es.indeed.com/rc/clk?jk=1fed03096f37cc20&fccid=1b866506aec22461&vjs=3
R&amp;D FPGA/Firmware Engineer Internship - Sept.2021,"Sant Cugat del Vallès, Barcelona provincia",https://es.indeed.com/rc/clk?jk=52264f217da6c062&fccid=1b866506aec22461&vjs=3
Senior Android Engineer,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=7fbd4f29cef50f30&fccid=d2621f51dde471d3&vjs=3
Backend Developer for Translational Science,"Sant Cugat del Vallès, Barcelona provincia",https://es.indeed.com/rc/clk?jk=8245924f09fa1311&fccid=31670bef3ae6497b&vjs=3
"Senior Full Stack Engineer, Technology - Spain Remote","Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=663ecd38f19a6a10&fccid=159dc1a61ed981c9&vjs=3
Full Stack Developer,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=3322f3b5a982c2f4&fccid=141adc5dfe7f8fda&vjs=3
UX/UI Designer,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=8a2afc2a8bfb0c10&fccid=867bf7143e8ea41c&vjs=3
Applied Data Scientist,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=547cd179f403ae06&fccid=0e374b82a29a1049&vjs=3
Data Scientist Specialist (ASL),"Esplugues de Llobregat, Barcelona provincia",https://es.indeed.com/rc/clk?jk=b68e31847a1b57b6&fccid=bfdac90a7574b77c&vjs=3
Data Scientist,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=75db214fdeb5f6d1&fccid=34d04f6900db138d&vjs=3
Reference Data Scientist,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=1c5f89107bd4b485&fccid=072e277bb0b2f63c&vjs=3
Senior Data Scientist,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=073bf07785c9d8f9&fccid=848f060296f23fff&vjs=3
Data Analyst - B2B (They/She/He),"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=bf1f30907154772d&fccid=e79aa74d1d3ace1e&vjs=3
Instructional Designer - Amazon Selling Partner Support,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=e2e50632ae204ec8&fccid=fe2d21eef233e94a&vjs=3
Senior Data Scientist,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=073bf07785c9d8f9&fccid=848f060296f23fff&vjs=3
"Data Product Manager, Data &amp; Analytics - Spain or Germany Re...","Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=d9d844a77d48f340&fccid=3755b60c862441f9&vjs=3
Senior Data Scientist - Pricing,"Sant Cugat del Vallès, Barcelona provincia",https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C4JTuWysBZGWr3ScYyn1q3GP1Wt9Y6KOMkEf9pRAXJOWsVIs1722niBbCW7LuvCyperbKiuH3N5H5NPPrYzANJ9l012Miu4LHUovmASKEDAX_MhriJ8pYxKabMiNUCd83gfx0ycRDWKLYocgs2VDBX2cs3YD1kd-hN-qfWK42G-8qR7pApQROc16YRzHCFbmGH6KnwXOagtSs8lklsgGvPpsxv4EQf2CPDyp2lzeyeQ6PfzqZAlKaY_KrXb1CU17beHnhW1n9V1EkHmit1r3Awr6Y83Db3ZQBSvfF2ePyRh0kqRD9prfm9_PaksAKMfaP0FoZrh3dvt_I3co8ohcoZCJuzZ-6mK2a6_zQWhGBNI7te7kw1m53bEuS6nLKJAruboORViXQH-mCjxF1Td6ztHjYTP9JwTn30QWmZAOP1LVL_VLE06-AHWwh_9yJtFpbZIQw3sykB31bTw7lMG_GY9UQzLHYT0CZGbrh3c6qvryNgzNY2OuB720M3P8li4uFwOO0i1ElmGxRNUZHWpmWIIq-qH2LM3P6L0fFm79scssTOn2o051kxCmGtNCH65EfDD8jlOjKH8SXUJgg0a-PmK6rAw9U5yfSL1b3fecjGBXLq2dXPFSduIR4XsUYqc3EKmqqjtYRbUKmJgMb3xYTjySg1HoRFPHEiVO_abuDuwurcwQYWJ7fqGaX29rcfNGu8BvJIL5IZ7bUMwg9cq8rKcPOPRV2VaiEcqngA--4fKBzOZ-VKfex7jh0FNjEF9_BesCZS8aWsqjWtWqLk3juiIiOdSa-o5dSCteaNvPmmA-LAnHP_-8JbXzP2kpb7CbaTH-vrnBw3yKVtXiMQEFjuyTTgcxtbGouaRRGz8SyV5-fmhlgyY3SNggOO_4lHx-kcFhPFjMxIG2969m7t18TWOBzTKmIM2W6bkX743m0idaQ1aFl6Ta3XhSFwFeZjEXA=&p=4&fvj=0&vjs=3
Senior Data Analyst,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=9a48f6d27d3cc326&fccid=cdf1db6d6ae5640b&vjs=3
Technical reseracher - Distributed machine learning for wear...,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=74f825934f6eb69b&fccid=a9e2246650287c61&vjs=3
PRODUCT OWNER (F/M),"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=b582854c3430b1c7&fccid=753062d67d31c43a&vjs=3
Director of Product Insights (They/She/He),"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=3dd5647cbff01ca5&fccid=e79aa74d1d3ace1e&vjs=3
Cloud Engineer for Translational Science,"Sant Cugat del Vallès, Barcelona provincia",https://es.indeed.com/rc/clk?jk=0a68c837bc154bc4&fccid=6902b1131240791f&vjs=3
Backend Developer for Translational Science,"Sant Cugat del Vallès, Barcelona provincia",https://es.indeed.com/rc/clk?jk=6cf0ec6efe91fcd4&fccid=6902b1131240791f&vjs=3
Python Developer,"Sant Cugat del Vallès, Barcelona provincia",https://es.indeed.com/rc/clk?jk=f29e79e9bc91eedc&fccid=f7a5b2f156c0143f&vjs=3
Linux System Administrator,"Sant Cugat del Vallès, Barcelona provincia",https://es.indeed.com/rc/clk?jk=097e8ad973b50d20&fccid=6902b1131240791f&vjs=3
"Senior Technical Recruiter, Verse","Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=dfbb56b03404f99c&fccid=d2b4e3cbfedff77b&vjs=3
Senior Data Scientist,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=f321c7199b6dc44e&fccid=072e277bb0b2f63c&vjs=3
letgo - Search Engineer,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=6228bbe6bd72a06e&fccid=68a03abfcf7e0aaa&vjs=3
Business Intelligence Analyst,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=5c61e1a9b60d2718&fccid=65fcc20ad0c93068&vjs=3
Data Scientist Intern,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=0a477c63722f41a7&fccid=fea8c93b7974f803&vjs=3
